DATE,e_calcium,e_calories,e_carbs,e_cholesterol,e_fiber,e_protein,e_sat_fat,e_sodium,e_sugar,e_unsat_fat,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_workout_count,m_workout_time,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_deep,n_duration,n_light,n_quality,n_rem,o_count,o_mood,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_deep,s_duration,s_light,s_quality,s_rem
20130101,17.0,709.0,86.0,170.0,0.0,45.0,3.0,836.0,13.0,1.0,996.0,33.6520000398,1165.0,,589.0,28740.0,1789.0,0.0,0.0,,,,,,,,,,,4.0,140.0,,,,,,,,,,
20130102,288.0,1112.400000572,107.60100000350000,628.1000022888000,13.0,50.893000066300000,20.75659999251,2350.0,45.06499999762,13.54019999504,8910.0,303.599000428,10681.0,,2026.0,0.0,16193.0,0.0,0.0,,,,,,,,,,,2.0,150.0,282.0,1184.0,616.0,1.0,271.0,8999.0,19859.0,10860.0,57.0,
20130103,0.0,130.0,34.0,0.0,2.0,2.0,0.0,0.0,22.0,0.0,11814.0,398.976999834,13961.0,,2026.0,5220.0,21271.0,0.0,0.0,20.0,4418.0,399.0,3.0,4.0,7861.0,19545.0,11684.0,62.0,,1.0,60.0,,,,,,,,,,
20130104,191.0,1183.0,107.0,490.0,15.0,101.0,12.0,3992.0,63.0,9.0,13190.0,455.6300005573,14104.0,,2262.0,3720.0,21771.0,1.0,900.0,,,,,,,,,,,2.0,130.0,1325.0,0.0,305.0,0.0,1325.0,0.0,25200.0,0.0,0.0,
20130105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4949.0,151.778999921,5209.0,,1232.0,5520.0,8268.0,0.0,0.0,2028.0,2031.0,1007.0,1.0,1997.0,17933.0,25263.0,7330.0,89.0,,2.0,140.0,,,,,,,,,,
20130106,270.0,496.0,29.0,128.0,1.0,48.0,9.0,1586.0,24.0,8.0,7284.0,234.412000122,8135.0,,3147.0,2640.0,12651.0,0.0,0.0,224.0,1662.0,363.0,1.0,203.0,4320.0,7980.0,3660.0,27.0,,2.0,90.0,,,,,,,,,,
20130107,20.0,332.0,18.0,0.0,2.0,10.0,5.0,180.0,3.0,20.0,13107.0,566.870000912,9911.0,,990.0,7680.0,15177.0,1.0,5400.0,1414.0,1232.0,398.0,2.0,1403.0,12958.0,24911.0,11953.0,86.0,,2.0,120.0,,,,,,,,,,
20130108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8086.0,318.00800125120000,8037.0,,692.0,4320.0,12184.0,1.0,1800.0,,,,,,,,,,,1.0,60.0,4.0,3801.0,418.0,3.0,1428.0,13349.0,22084.0,8735.0,75.0,
20130109,210.0,281.0,24.55,13.0,0.9,10.77,4.404,189.0,18.42,10.772,12395.0,445.9421645472,14163.0,,1309.0,5100.0,21286.0,1.0,900.0,,,,,,,,,,,1.0,70.0,1415.0,0.0,405.0,0.0,1415.0,0.0,25800.0,0.0,0.0,
20130110,90.0,198.0,42.0,3.0,5.0,4.0,2.0,161.0,32.0,0.0,14503.0,564.032000646,12797.0,,3164.0,5340.0,19854.0,1.0,3600.0,135.0,2262.0,553.0,3.0,123.0,16282.0,23866.0,7584.0,84.0,,2.0,90.0,,,,,,,,,,
